Country Name,Country Code,Series Name,Series Code,1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Russian Federation,RUS,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-21.730187,-14.64525666,-10.46823411,20.67284896,4.005967501,-5.696110208,20.32156014,22.84230848,2.933725811,3.406619582,7.011187595,14.83944759,10.67970473,12.63764692,14.02374893,4.397739788,-17.24388173,13.32744893,9.109775022,4.027304177,-0.632200735,-0.703700549,-5.91835134,-3.658441579,3.406221794,5.489697571,0.278692871,-3.233666086,-2.639268455,..,..,..
Russian Federation,RUS,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.40E+11,4.23E+11,3.61E+11,3.23E+11,3.90E+11,4.05E+11,3.82E+11,4.60E+11,5.65E+11,5.82E+11,6.01E+11,6.44E+11,7.39E+11,8.18E+11,9.21E+11,1.05E+12,1.10E+12,9.08E+11,1.03E+12,1.12E+12,1.17E+12,1.16E+12,1.15E+12,1.08E+12,1.04E+12,1.08E+12,1.14E+12,1.14E+12,1.11E+12,1.08E+12,..,..,..
Russian Federation,RUS,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.31E+11,2.16E+11,1.98E+11,1.89E+11,2.31E+11,2.53E+11,1.73E+11,1.40E+11,1.88E+11,2.29E+11,2.59E+11,3.21E+11,4.53E+11,5.84E+11,7.67E+11,1.04E+12,1.30E+12,9.55E+11,1.22E+12,1.62E+12,1.75E+12,1.81E+12,1.61E+12,1.08E+12,1.01E+12,1.24E+12,1.28E+12,1.31E+12,1.19E+12,1.32E+12,..,..,..
Russian Federation,RUS,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-21.68831128,-14.61600123,-10.44885745,20.84850655,4.17807626,-5.539921772,20.69425893,23.36009452,3.371179616,3.883410354,7.49789301,15.30281944,11.10269694,13.00707433,14.21899147,4.4436333,-17.26879061,13.27657816,8.981053919,3.765920215,-0.927378097,-2.535350263,-6.209626655,-3.931689277,3.191006703,5.39667953,0.223703732,-3.107571859,-2.315463377,..,..,..
Russian Federation,RUS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3635.515381,2847.033447,2430.910889,2176.908691,2630.761475,2740.676758,2588.845215,3124.587891,3854.494385,3984.436523,4139.168457,4449.518555,5130.42041,5700.035645,6441.443848,7357.352051,7684.285645,6357.302246,7201.334473,7848.090332,8143.643555,8068.120605,7863.56543,7375.267578,7085.29541,7311.387695,7705.959473,7723.197754,7483.194336,7309.92334,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
